code	description
A	Alicante/Alacant
AB	Albacete
AL	Almería
AV	Ávila
B	Barcelona
BA	Badajoz
BI	Bizkaia
BU	Burgos
C	Coruña (A)
CA	Cádiz
CC	Cáceres
CE	Ceuta
CO	Córdoba
CR	Ciudad Real
CS	Castellón/Castelló
CU	Cuenca
DS	Desconocido
EX	Extranjero
GC	Palmas (Las)
GI	Girona
GR	Granada
GU	Guadalajara
H	Huelva
HU	Huesca
IB	Balears (Illes)
J	Jaén
L	Lleida
LE	León
LO	Rioja (La)
LU	Lugo
M	Madrid
MA	Málaga
ML	Melilla
MU	Murcia
NA	Navarra
O	Asturias
OU	Ourense
P	Palencia
PO	Pontevedra
S	Cantabria
SA	Salamanca
SC	Servicios Centrales
SE	Sevilla
SG	Segovia
SO	Soria
SS	Gipuzkoa
T	Tarragona
TE	Teruel
TF	Santa Cruz de Tenerife
TO	Toledo
V	Valencia/València
VA	Valladolid
VI	Araba/Álava
Z	Zaragoza
ZA	Zamora
