code	description
0	SIN ESPECIFICAR
	SIN ESPECIFICAR
00	CAMIÓN
01	CAMIÓN PLATAFORMA
02	CAMIÓN CAJA
03	CAMIÓN FURGÓN
04	CAMIÓN BOTELLERO
05	CAMIÓN CISTERNA
06	CAMIÓN JAULA
07	CAMIÓN FRIGORÍFICO
08	CAMIÓN TALLER
09	CAMIÓN PARA CANTERA
0A	CAMIÓN PORTAVEHÍCULOS
0B	CAMIÓN MIXTO
0C	CAMIÓN PORTACONTENEDORES
0D	CAMIÓN BASURERO
0E	CAMIÓN ISOTERMO
0F	CAMIÓN SILO
0G	VEHICULO MIXTO ADAPTABLE
10	CAMIÓN ARTICULADO
11	CAMIÓN ARTICULADO PLATAFORMA
12	CAMIÓN ARTICULADO CAJA
13	CAMIÓN ARTICULADO FURGÓN
14	CAMIÓN ARTICULADO BOTELLERO
15	CAMIÓN ARTICULADO CISTERNA
16	CAMIÓN ARTICULADO JAULA
17	CAMIÓN ARTICULADO FRIGORÍFICO
18	CAMIÓN ARTICULADO TALLER
19	CAMIÓN ARTICULADO PARA CANTERA
1A	CAMIÓN ARTICULADO VIVIENDA O CARAVANA
1C	CAMIÓN ARTICULADO HORMIGONERA
1D	CAMIÓN ARTICULADO VOLQUETE
1E	CAMIÓN ARTICULADO GRÚA
1F	CAMIÓN ARTICULADO CONTRA INCENDIOS
20	FURGONETA
21	FURGONETA MIXTA
22	AMBULANCIA
23	COCHE FÚNEBRE
24	CAMIONETA
25	TODO TERRENO
30	AUTOBÚS
31	AUTOBÚS ARTICULADO
32	AUTOBÚS MIXTO
33	BIBLIOBÚS
34	AUTOBÚS LABORATORIO
35	AUTOBÚS TALLER
36	AUTOBÚS SANITARIO
40	TURISMO
50	MOTOCICLETA DE 2 RUEDAS SIN SIDECAR
51	MOTOCICLETA CON SIDECAR
52	MOTOCARRO
53	AUTOMÓVIL DE 3 RUEDAS
54	CUATRICICLO PESADO
60	COCHE DE INVÁLIDO
70	VEHÍCULO ESPECIAL
71	PALA CARGADORA
72	PALA EXCAVADORA
73	CARRETILLA ELEVADORA
74	MONIVELADORA
75	COMPACTADORA
76	APISONADORA
77	GIROGRAVILLADORA
78	MACHACADORA
79	QUITANIEVES
7A	VIVIENDA
7B	BARREDORA
7C	HORMIGONERA
7D	VOLQUETE DE CANTERAS
7E	GRÚA
7F	SERVICIO CONTRA INCENDIOS
7G	ASPIRADORA DE FANGOS
7H	MOTOCULTOR
7I	MAQUINARIA AGRÍCOLA AUTOMOTRIZ
7J	PALA CARGADORA-RETROEXCAVADORA
7K	TREN HASTA 160 PLAZAS
80	TRACTOR
81	TRACTOCAMIÓN
82	TRACTOCARRO
90	CICLOMOTOR DE 2 RUEDAS
91	CICLOMOTOR DE 3 RUEDAS
92	CUATRICICLO LIGERO
EX	EXTRANJERO
R0	REMOLQUE
R1	REMOLQUE PLATAFORMA
R2	REMOLQUE CAJA
R3	REMOLQUE FURGÓN
R4	REMOLQUE BOTELLERO
R5	REMOLQUE CISTERNA
R6	REMOLQUE JAULA
R7	REMOLQUE FRIGORÍFICO
R8	REMOLQUE TALLER
R9	REMOLQUE PARA CANTERAS
RA	REMOLQUE VIVIENDA O CARAVANA
RB	REMOLQUE DE VIAJEROS O DE AUTOBÚS
RC	REMOLQUE HORMIGONERA
RD	REMOLQUE VOLQUETE DE CANTERA
RE	REMOLQUE DE GRÚA
RF	REMOLQUE CONTRA INCENDIOS
RH	MAQ.AGRÍCOLA ARRASTRADA DE 2 EJES
S0	SEMIRREMOLQUE
S1	SEMIRREMOLQUE PLATAFORMA
S2	SEMIRREMOLQUE CAJA
S3	SEMIRREMOLQUE FURGÓN
S4	SEMIRREMOLQUE BOTELLERO
S5	SEMIRREMOLQUE CISTERNA
S6	SEMIRREMOLQUE JAULA
S7	SEMIRREMOLQUE FRIGORÍFICO
S8	SEMIRREMOLQUE TALLER
S9	SEMIRREMOLQUE CANTERA
SA	SEMIRREMOLQUE VIVIENDA O CARAVANA
SB	SEMIRREMOLQUE VIAJEROS O AUTOBÚS
SC	SEMIRREMOLQUE HORMIGONERA
SD	SEMIRREMOLQUE VOLQUETE DE CANTERA
SE	SEMIRREMOLQUE GRÚA
SF	SEMIRREMOLQUE CONTRA INCENDIOS
SH	MAQ.AGRICOLA ARRASTRADA DE 1 EJE
