n	campo	longitud	inicio	fin	tipo_dgt	formato	descripcion
1	FEC_MATRICULA	8	1	8	CHAR(8)	DATE, DDMMYYYY	Fecha de matriculación del vehículo
2	COD_CLASE_MAT	1	9	9	CHAR(1)	Ver anexo I	Código de clase de matrícula
3	FEC_TRAMITACION	8	10	17	CHAR(8)	DATE, DDMMYYYY	Fecha de tramitación, que se corresponde con la fecha de transferencia del vehículo contenida en los datos de transferencias
4	MARCA_ITV	30	18	47	CHAR(30)		Descripción de la marca del vehículo
5	MODELO_ITV	22	48	69	CHAR(22)		Modelo del vehículo
6	COD_PROCEDENCIA_ITV	1	70	70	CHAR(1)	Ver anexo I	Código de la procedencia del vehículo
7	BASTIDOR_ITV	21	71	91	CHAR(21)		Ocho primeros caracteres del bastidor del vehículo. El resto se completa con *
8	COD_TIPO	2	92	93	CHAR(2)	Ver anexo I	Código del tipo de vehículo
9	COD_PROPULSION_ITV	1	94	94	CHAR(1)	Ver anexo I	Código del tipo de propulsión
10	CILINDRADA_ITV	5	95	99	CHAR(5)	DECIMAL(5,0), ZZZZ9	Cilindrada del vehículo
11	POTENCIA_ITV	6	100	105	CHAR(6)	DECIMAL(5,2), ZZ9.99	Potencia fiscal del vehículo en CVF, redondeada a la segunda cifra decimal
12	TARA	6	106	111	CHAR(6)	DECIMAL(7,0), ZZZZZ9	Tara del vehículo (peso del vehículo). La carga útil será PESO_MAX - TARA
13	PESO_MAX	6	112	117	CHAR(6)	DECIMAL(7,0), ZZZZZ9	Peso máximo del vehículo
14	NUM_PLAZAS	3	118	120	CHAR(3)	INTEGER, ZZ9	Número de plazas. En un vehículo de carga, plazas máximas permitidas con el vehículo descargado
15	IND_PRECINTO	2	121	122	CHAR(2)	SI / blanco	Indicador de vehículo precintado
16	IND_EMBARGO	2	123	124	CHAR(2)	SI / blanco	Indicador de vehículo embargado
17	NUM_TRANSMISIONES	2	125	126	CHAR(2)	INTEGER, 99	Número de transmisiones que ha tenido el vehículo
18	NUM_TITULARES	2	127	128	CHAR(2)	INTEGER, 99	Número de titulares del vehículo
19	LOCALIDAD_VEHICULO	24	129	152	CHAR(24)		Localidad del domicilio del vehículo
